question_id,question_content,category,difficulty,涉及公司代码,参考答案,参考数据来源,期望置信度分类,agent_回答,agent_思维链,agent_数据来源引用,agent_置信度分类,是否正确,错误类型,是否幻觉,工具调用步数,token消耗,运行批次
Q1,600238.SH 在 2025-12-31 的营业收入和净利润分别是多少？,单表/单跳,Easy,600238.SH,"母公司口径营业收入328,367,159.64元，净利润-8,713,696.22元。",financial_income；600238.SH；report_period=20251231；oper_rev、net_profit_excl_min_int_inc,high,"运行失败：RuntimeError: DeepSeek API error 401: {""error"":{""message"":""Authentication Fails, Your api key: ****1aed is invalid"",""type"":""authentication_error"",""param"":null,""code"":""invalid_request_error""}}
运行耗时：0.093秒",模型 thinking 已启用；以下记录 API 返回的 reasoning_content 与工具调用轨迹。,[],,,运行错误,,0,prompt_tokens=0; completion_tokens=0; total_tokens=0,phase1-rerun-20260818
Q2,截至 2026-03-31，600238.SH 的前十大股东中，持股比例最高的是谁，占比多少？,单表/单跳,Easy,600238.SH,海口市国有资产经营有限公司，持股13.48%。,shareholders；600238.SH；s_holder_enddate=20260331；s_holder_name、s_holder_pct,high,"运行失败：RuntimeError: DeepSeek API error 401: {""error"":{""message"":""Authentication Fails, Your api key: ****1aed is invalid"",""type"":""authentication_error"",""param"":null,""code"":""invalid_request_error""}}
运行耗时：0.066秒",模型 thinking 已启用；以下记录 API 返回的 reasoning_content 与工具调用轨迹。,[],,,运行错误,,0,prompt_tokens=0; completion_tokens=0; total_tokens=0,phase1-rerun-20260818
Q3,600238.SH 最近一期经营活动产生的现金流量净额是多少？,单表/单跳,Easy,600238.SH,"当前现金流量表最近报告期为2025-12-31，经营活动现金流量净额61,500,375.22元。",financial_cashflow；600238.SH；report_period=20251231；net_cash_flows_oper_act,high,"运行失败：RuntimeError: DeepSeek API error 401: {""error"":{""message"":""Authentication Fails, Your api key: ****1aed is invalid"",""type"":""authentication_error"",""param"":null,""code"":""invalid_request_error""}}
运行耗时：0.065秒",模型 thinking 已启用；以下记录 API 返回的 reasoning_content 与工具调用轨迹。,[],,,运行错误,,0,prompt_tokens=0; completion_tokens=0; total_tokens=0,phase1-rerun-20260818
Q4,600238.SH 2025 年与 2024 年相比，营业收入增长了多少？,跨期比较,Easy-Medium,600238.SH,"母公司口径营业收入由2024年的80,619,370.86元增至2025年的328,367,159.64元，同比增长约307.31%。",financial_income；600238.SH；report_period=20241231、20251231；oper_rev,high,"运行失败：RuntimeError: DeepSeek API error 401: {""error"":{""message"":""Authentication Fails, Your api key: ****1aed is invalid"",""type"":""authentication_error"",""param"":null,""code"":""invalid_request_error""}}
运行耗时：0.104秒",模型 thinking 已启用；以下记录 API 返回的 reasoning_content 与工具调用轨迹。,[],,,运行错误,,0,prompt_tokens=0; completion_tokens=0; total_tokens=0,phase1-rerun-20260818
Q5,600238.SH 过去四个季度的净利润趋势是持续增长、持续下降，还是波动？,跨期比较,Easy-Medium,600238.SH,"数据不足。当前仅有年度和半年度累计口径，缺少连续四个单季度净利润，不能据此判断四季度趋势。现有最近三期累计值为-68,993,092.03、-4,559,303.87、-8,713,696.22元，呈波动。",financial_income；600238.SH；report_period=20241231、20250630、20251231；net_profit_excl_min_int_inc；缺少单季度口径,low,"运行失败：RuntimeError: DeepSeek API error 401: {""error"":{""message"":""Authentication Fails, Your api key: ****1aed is invalid"",""type"":""authentication_error"",""param"":null,""code"":""invalid_request_error""}}
运行耗时：0.066秒",模型 thinking 已启用；以下记录 API 返回的 reasoning_content 与工具调用轨迹。,[],,,运行错误,,0,prompt_tokens=0; completion_tokens=0; total_tokens=0,phase1-rerun-20260818
Q6,600238.SH 最近几个报告期净利润是否持续增长？同期经营活动现金流量净额是否同步增长？如果出现背离，可能的原因是什么？,跨表勾稽,Medium-Hard,600238.SH,"净利润并非持续增长：2024年末-68,993,092.03元，2025年中-4,559,303.87元，2025年末-8,713,696.22元。经营现金流同期为-58,467,148.81、18,795,711.96、61,500,375.22元，持续改善。两者口径和趋势不同，但仅凭三表不能断言具体原因，应作为待核实线索。",financial_income + financial_cashflow；600238.SH；20241231、20250630、20251231,medium,"运行失败：RuntimeError: DeepSeek API error 401: {""error"":{""message"":""Authentication Fails, Your api key: ****1aed is invalid"",""type"":""authentication_error"",""param"":null,""code"":""invalid_request_error""}}
运行耗时：0.076秒",模型 thinking 已启用；以下记录 API 返回的 reasoning_content 与工具调用轨迹。,[],,,运行错误,,0,prompt_tokens=0; completion_tokens=0; total_tokens=0,phase1-rerun-20260818
Q7,600238.SH 最近两年应收账款和存货的增速，与营业收入增速相比，是否明显偏快？,跨表勾稽,Medium-Hard,600238.SH,2024至2025年，营业收入约增长307.31%，应收账款约增长17.46%，存货约增长3.05%；应收和存货增速均未明显快于收入。仅为母公司口径。,financial_income + financial_balance；600238.SH；20241231、20251231；oper_rev、acct_rcv、inventories,high,"运行失败：RuntimeError: DeepSeek API error 401: {""error"":{""message"":""Authentication Fails, Your api key: ****1aed is invalid"",""type"":""authentication_error"",""param"":null,""code"":""invalid_request_error""}}
运行耗时：0.087秒",模型 thinking 已启用；以下记录 API 返回的 reasoning_content 与工具调用轨迹。,[],,,运行错误,,0,prompt_tokens=0; completion_tokens=0; total_tokens=0,phase1-rerun-20260818
Q8,600238.SH 在 2025-12-31 的净利润中，有多大比例来自公允价值变动、投资收益等非主营业务项目？扣除后主营业务是盈利还是亏损？,跨表勾稽,Medium-Hard,600238.SH,"该期净利润为-8,713,696.22元，投资净收益为-5,521,034.78元，公允价值变动字段为空；投资项目是损失而非利润来源，其绝对值约为净亏损的63.36%。营业利润为-2,101,418.10元，仍为亏损。不能把空值当作0后做完整扣除。",financial_income；600238.SH；report_period=20251231；net_profit_excl_min_int_inc、plus_net_invest_inc、plus_net_gain_chg_fv、oper_profit,medium,"运行失败：RuntimeError: DeepSeek API error 401: {""error"":{""message"":""Authentication Fails, Your api key: ****1aed is invalid"",""type"":""authentication_error"",""param"":null,""code"":""invalid_request_error""}}
运行耗时：0.086秒",模型 thinking 已启用；以下记录 API 返回的 reasoning_content 与工具调用轨迹。,[],,,运行错误,,0,prompt_tokens=0; completion_tokens=0; total_tokens=0,phase1-rerun-20260818
Q9,600238.SH 的短期借款是否明显增加？同时货币资金余额和经营现金流是否在恶化？这是否构成流动性风险信号？,跨表勾稽,Medium-Hard,600238.SH,"2024至2025年短期借款约下降14.29%（70,104,805.55降至60,088,000元），货币资金约上升149.96%，经营现金流由-58,467,148.81改善至61,500,375.22元。三项未显示同步恶化，不能据此认定流动性风险；仅为母公司口径。",financial_balance + financial_cashflow；600238.SH；20241231、20251231；st_borrow、monetary_cap、net_cash_flows_oper_act,high,"运行失败：RuntimeError: DeepSeek API error 401: {""error"":{""message"":""Authentication Fails, Your api key: ****1aed is invalid"",""type"":""authentication_error"",""param"":null,""code"":""invalid_request_error""}}
运行耗时：0.081秒",模型 thinking 已启用；以下记录 API 返回的 reasoning_content 与工具调用轨迹。,[],,,运行错误,,0,prompt_tokens=0; completion_tokens=0; total_tokens=0,phase1-rerun-20260818
Q10,综合 600238.SH 最近三个报告期的利润表、资产负债表、现金流量表，判断是否存在增收不增现迹象，并给出依据和置信度分类。,跨表勾稽,Hard,600238.SH,"最近三期累计口径中，收入和经营现金流总体同时改善，2025年末收入328,367,159.64元、经营现金流61,500,375.22元，未呈现明确增收不增现。净利润仍亏损，属于需继续核实的经营风险；数据为母公司且非连续单季度，结论置信度中等。",financial_income + financial_balance + financial_cashflow；600238.SH；20241231、20250630、20251231,medium,"运行失败：RuntimeError: DeepSeek API error 401: {""error"":{""message"":""Authentication Fails, Your api key: ****1aed is invalid"",""type"":""authentication_error"",""param"":null,""code"":""invalid_request_error""}}
运行耗时：0.079秒",模型 thinking 已启用；以下记录 API 返回的 reasoning_content 与工具调用轨迹。,[],,,运行错误,,0,prompt_tokens=0; completion_tokens=0; total_tokens=0,phase1-rerun-20260818
